id;Latitude;Longitude;Altitude;LAT_UTM;LON_UTM;ZONA_UTM
0;-16,42987312;-46,84994841;621;302470,80884271;8182611,3248609;23
1;-16,4325193;-46,8489734;626;302577,62072017;8182319,4294798;23
2;-16,42964;-46,8485;604;302625,27347092;8182638,5364053;23
3;-16,43245;-46,8475;605;302734,91776247;8182328,5352676;23
4;-16,42962;-46,84737;598;302745,94510416;8182641,8511239;23
5;-16,43212;-46,84637;596;302855,27475786;8182366,1564836;23
6;-16,42941;-46,84576;592;302917,69233265;8182666,6593271;23
7;-16,43173;-46,846;595;302894,3992867;8182409,6771342;23
8;-16,43111;-46,8458;594;302915,13494769;8182478,4857053;23
9;-16,43082;-46,84534;591;302963,97322789;8182511,0270688;23
